"","CatchId","Stage","Discharge (m3s-1)"
"1789",17595229,13.716,15685.4218458
"1790",17595229,14.0208,16476.3057475
"1791",17595229,14.3256,17385.7419853
"1792",17595229,14.6304,18303.0000148
"1793",17595229,14.9352,19149.9656411
"1794",17595229,15.24,20088.3830949
"1795",17595229,15.5448,20983.0397044
"1796",17595229,15.8496,21969.7673119
"1797",17595229,16.1544,23006.8346008
"1798",17595229,16.4592,23993.7716998
"1799",17595229,16.764,24924.2004861
"1800",17595229,17.0688,25915.344736
"1801",17595229,17.3736,26945.9593493
"1802",17595229,17.6784,28065.5382665
"1803",17595229,17.9832,29159.5880276
"1804",17595229,18.288,30421.071054
"1805",17595229,18.5928,31577.8490327
"1806",17595229,18.8976,32740.6752805
"1807",17595229,19.2024,34040.5038138
"1808",17595229,19.5072,35055.4590562
"1809",17595229,19.812,36258.6185589
"1810",17595229,20.1168,37606.5179363
"1811",17595229,20.4216,38936.6996062
"1812",17595229,20.7264,40336.739956
"1813",17595229,21.0312,41788.0920531
"1814",17595229,21.336,43219.4009611
"1815",17595229,21.6408,44650.550155
"1816",17595229,21.9456,46181.63364
"1817",17595229,22.2504,47540.3604475
"1818",17595229,22.5552,48958.8418954
"1819",17595229,22.86,50553.1060078
"1820",17595229,23.1648,52145.7250588
"1821",17595229,23.4696,53741.7683046
"1822",17595229,23.7744,55337.8710058
"1823",17595229,24.0792,57045.3338188
"1824",17595229,24.384,58747.6764882
"1825",17595229,24.6888,60367.4339761
"1826",17595229,24.9936,62073.9804995
"1827",17595179,0,0
"1828",17595179,0.3048,9.04876719374
"1829",17595179,0.6096,28.7280451194
"1830",17595179,0.9144,56.2327214544
"1831",17595179,1.2192,89.5525395548
"1832",17595179,1.524,127.703291255
"1833",17595179,1.8288,171.957286965
"1834",17595179,2.1336,222.673127586
"1835",17595179,2.4384,276.785087269
"1836",17595179,2.7432,337.537772523
"1837",17595179,3.048,403.107048209
"1838",17595179,3.3528,484.29194225
"1839",17595179,3.6576,560.997069919
"1840",17595179,3.9624,657.71071623
"1841",17595179,4.2672,763.580800583
"1842",17595179,4.572,882.905407712
"1843",17595179,4.8768,1020.23463182
"1844",17595179,5.1816,1161.63356763
"1845",17595179,5.4864,1317.10291207
"1846",17595179,5.7912,1489.54873809
"1847",17595179,6.096,1660.53880885
"1848",17595179,6.4008,1850.18245991
"1849",17595179,6.7056,2064.34724207
"1850",17595179,7.0104,2267.0435721
"1851",17595179,7.3152,2516.14553314
"1852",17595179,7.62,2767.24537561
"1853",17595179,7.9248,3010.0243436
"1854",17595179,8.2296,3289.97914094
"1855",17595179,8.5344,3556.67857109
"1856",17595179,8.8392,3881.53230805
"1857",17595179,9.144,4194.71455034
"1858",17595179,9.4488,4542.76444797
"1859",17595179,9.7536,4919.42826306
"1860",17595179,10.0584,5265.46887234
"1861",17595179,10.3632,5660.64323292
"1862",17595179,10.668,6104.79598917
"1863",17595179,10.9728,6486.86455896
"1864",17595179,11.2776,6899.32146934
"1865",17595179,11.5824,7375.42576013
"1866",17595179,11.8872,7795.06857798
"1867",17595179,12.192,8225.80842213
"1868",17595179,12.4968,8736.28983736
"1869",17595179,12.8016,9295.00719725
"1870",17595179,13.1064,9810.79167269
"1871",17595179,13.4112,10349.5234247
"1872",17595179,13.716,10932.3645395
"1873",17595179,14.0208,11528.1501525
"1874",17595179,14.3256,12133.6450025
"1875",17595179,14.6304,12738.5407328
"1876",17595179,14.9352,13409.8953754
"1877",17595179,15.24,13995.3802687
"1878",17595179,15.5448,14652.6644481
"1879",17595179,15.8496,15382.4464317
"1880",17595179,16.1544,16057.2155784
"1881",17595179,16.4592,16792.7809175
"1882",17595179,16.764,17632.6237322
"1883",17595179,17.0688,18363.7545899
"1884",17595179,17.3736,19183.239217
"1885",17595179,17.6784,19992.611141
"1886",17595179,17.9832,20806.1669043
"1887",17595179,18.288,21658.1854229
"1888",17595179,18.5928,22569.1400283
"1889",17595179,18.8976,23472.7233798
"1890",17595179,19.2024,24405.765075
"1891",17595179,19.5072,25347.1412695
"1892",17595179,19.812,26328.8597659
"1893",17595179,20.1168,27296.0956778
"1894",17595179,20.4216,28336.3717404
"1895",17595179,20.7264,29285.8022978
"1896",17595179,21.0312,30290.2773848
"1897",17595179,21.336,31459.1508999
"1898",17595179,21.6408,32623.7255959
"1899",17595179,21.9456,33839.1302372
"1900",17595179,22.2504,34955.8516065
"1901",17595179,22.5552,36185.4115305
"1902",17595179,22.86,37457.1950081
"1903",17595179,23.1648,38558.2210878
"1904",17595179,23.4696,39936.2899897
"1905",17595179,23.7744,41269.6870565
"1906",17595179,24.0792,42564.3998149
"1907",17595179,24.384,43852.7894274
"1908",17595179,24.6888,45310.4757362
"1909",17595179,24.9936,46664.9530525
"1910",17596111,0,0
"1911",17596111,0.3048,3.01336977565
"1912",17596111,0.6096,10.7625105848
"1913",17596111,0.9144,23.7600722242
"1914",17596111,1.2192,43.5194809386
"1915",17596111,1.524,71.6740050938
"1916",17596111,1.8288,107.639529291
"1917",17596111,2.1336,151.568360948
"1918",17596111,2.4384,203.874625346
"1919",17596111,2.7432,267.530650649
"1920",17596111,3.048,340.995203492
"1921",17596111,3.3528,427.289106069
"1922",17596111,3.6576,519.272025418
"1923",17596111,3.9624,629.876823088
"1924",17596111,4.2672,754.173913259
"1925",17596111,4.572,890.337421809
"1926",17596111,4.8768,1042.43388721
"1927",17596111,5.1816,1220.37848143
"1928",17596111,5.4864,1408.44086836
"1929",17596111,5.7912,1621.03463252
"1930",17596111,6.096,1848.51855454
"1931",17596111,6.4008,2080.59299138
"1932",17596111,6.7056,2337.38506316
"1933",17596111,7.0104,2582.55059341
"1934",17596111,7.3152,2844.43114416
"1935",17596111,7.62,3150.38062736
"1936",17596111,7.9248,3491.69041602
"1937",17596111,8.2296,3852.73866312
"1938",17596111,8.5344,4228.9553389
"1939",17596111,8.8392,4649.68917796
"1940",17596111,9.144,5092.53908658
"1941",17596111,9.4488,5558.16778017
"1942",17596111,9.7536,6076.92318088
"1943",17596111,10.0584,6625.31685575
"1944",17596111,10.3632,7190.46376534
"1945",17596111,10.668,7724.54160411
"1946",17596111,10.9728,8313.31594699
"1947",17596111,11.2776,8898.0444669
"1948",17596111,11.5824,9519.6563838
"1949",17596111,11.8872,10170.2377479
"1950",17596111,12.192,10872.1811011
"1951",17596111,12.4968,11592.0001046
"1952",17596111,12.8016,12437.4337071
"1953",17596111,13.1064,13352.4727412
"1954",17596111,13.4112,14292.3421743
"1955",17596111,13.716,15270.0068755
"1956",17596111,14.0208,16310.8594973
"1957",17596111,14.3256,17381.0940064
"1958",17596111,14.6304,18495.4356444
"1959",17596111,14.9352,19643.5811673
"1960",17596111,15.24,20836.8592581
"1961",17596111,15.5448,22053.1131387
"1962",17596111,15.8496,23338.279778
"1963",17596111,16.1544,24636.9531957
"1964",17596111,16.4592,25986.4649722
"1965",17596111,16.764,27320.1654541
"1966",17596111,17.0688,28746.4038307
"1967",17596111,17.3736,30255.7034814
"1968",17596111,17.6784,31787.3818206
"1969",17596111,17.9832,33354.845443
"1970",17596111,18.288,34956.0655772
"1971",17596111,18.5928,36586.5803862
"1972",17596111,18.8976,38257.7207808
"1973",17596111,19.2024,40019.2991684
"1974",17596111,19.5072,41775.7739487
"1975",17596111,19.812,43600.2277214
"1976",17596111,20.1168,45480.104196
"1977",17596111,20.4216,47358.2925774
"1978",17596111,20.7264,49277.821173
"1979",17596111,21.0312,51231.4837779
"1980",17596111,21.336,53175.1090618
"1981",17596111,21.6408,55203.827804
"1982",17596111,21.9456,57274.508636
"1983",17596111,22.2504,59429.3055644
"1984",17596111,22.5552,61537.1652772
"1985",17596111,22.86,63751.5612377
"1986",17596111,23.1648,65945.2850925
"1987",17596111,23.4696,68122.4926313
"1988",17596111,23.7744,70359.831675
"1989",17596111,24.0792,72567.1720262
"1990",17596111,24.384,74863.6706138
"1991",17596111,24.6888,77139.2414913
"1992",17596111,24.9936,79524.4853555
"1993",17596177,0,0
"1994",17596177,0.3048,0
